tiempo_s,x_m,y_m,vx_ms,vy_ms,v_total_ms,ax_ms2,ay_ms2
0.0,0.0,0.53,0.9228571428571429,0.0,0.9228571428571429,0.0,-9.81
0.003535353535353535,0.0032626262626262626,0.5299386937557392,0.9228571428571429,-0.03468181818181818,0.9235086001953884,0.0,-9.81
0.00707070707070707,0.006525252525252525,0.5297547750229569,0.9228571428571429,-0.06936363636363636,0.9254602207399494,0.0,-9.81
0.010606060606060605,0.009787878787878788,0.5294482438016529,0.9228571428571429,-0.10404545454545454,0.9287038078601914,0.0,-9.81
0.01414141414141414,0.01305050505050505,0.5290191000918274,0.9228571428571429,-0.13872727272727273,0.93322589029709,0.0,-9.81
0.017676767676767676,0.016313131313131314,0.5284673438934803,0.9228571428571429,-0.1734090909090909,0.939007997267524,0.0,-9.81
0.02121212121212121,0.019575757575757576,0.5277929752066116,0.9228571428571429,-0.20809090909090908,0.9460270252845476,0.0,-9.81
0.024747474747474747,0.02283838383838384,0.5269959940312213,0.9228571428571429,-0.24277272727272728,0.9542556802188222,0.0,-9.81
0.02828282828282828,0.0261010101010101,0.5260764003673095,0.9228571428571429,-0.27745454545454545,0.9636629757938392,0.0,-9.81
0.031818181818181815,0.029363636363636363,0.5250341942148761,0.9228571428571429,-0.3121363636363636,0.9742147687376645,0.0,-9.81
0.03535353535353535,0.03262626262626263,0.5238693755739211,0.9228571428571429,-0.3468181818181818,0.9858743111381483,0.0,-9.81
0.03888888888888889,0.035888888888888894,0.5225819444444445,0.9228571428571429,-0.3815,0.9986028019800711,0.0,-9.81
0.04242424242424242,0.03915151515151515,0.5211719008264463,0.9228571428571429,-0.41618181818181815,1.0123599221164246,0.0,-9.81
0.04595959595959596,0.04241414141414142,0.5196392447199266,0.9228571428571429,-0.45086363636363636,1.0271043397423119,0.0,-9.81
0.049494949494949494,0.04567676767676768,0.5179839761248852,0.9228571428571429,-0.48554545454545456,1.042794176504741,0.0,-9.81
0.053030303030303025,0.048939393939393935,0.5162060950413223,0.9228571428571429,-0.5202272727272726,1.0593874274370567,0.0,-9.81
0.05656565656565656,0.0522020202020202,0.5143056014692379,0.9228571428571429,-0.5549090909090909,1.0768423307504227,0.0,-9.81
0.0601010101010101,0.055464646464646467,0.5122824954086318,0.9228571428571429,-0.589590909090909,1.0951176860068939,0.0,-9.81
0.06363636363636363,0.058727272727272725,0.5101367768595042,0.9228571428571429,-0.6242727272727272,1.1141731212603263,0.0,-9.81
0.06717171717171717,0.061989898989899,0.507868445821855,0.9228571428571429,-0.6589545454545455,1.1339693113562006,0.0,-9.81
0.0707070707070707,0.06525252525252526,0.5054775022956841,0.9228571428571429,-0.6936363636363636,1.1544681507435044,0.0,-9.81
0.07424242424242423,0.06851515151515152,0.5029639462809917,0.9228571428571429,-0.7283181818181818,1.1756328849132247,0.0,-9.81
0.07777777777777778,0.07177777777777779,0.5003277777777778,0.9228571428571429,-0.763,1.1974282049970466,0.0,-9.81
0.08131313131313131,0.07504040404040405,0.4975689967860423,0.9228571428571429,-0.7976818181818182,1.2198203102015888,0.0,-9.81
0.08484848484848484,0.0783030303030303,0.49468760330578515,0.9228571428571429,-0.8323636363636363,1.2427769426823725,0.0,-9.81
0.08838383838383838,0.08156565656565658,0.49168359733700645,0.9228571428571429,-0.8670454545454546,1.266267399236979,0.0,-9.81
0.09191919191919191,0.08482828282828284,0.48855697887970617,0.9228571428571429,-0.9017272727272727,1.2902625238697023,0.0,-9.81
0.09545454545454544,0.0880909090909091,0.4853077479338843,0.9228571428571429,-0.9364090909090909,1.314734684892598,0.0,-9.81
0.09898989898989899,0.09135353535353535,0.4819359044995409,0.9228571428571429,-0.9710909090909091,1.3396577398132172,0.0,-9.81
0.10252525252525252,0.09461616161616161,0.47844144857667587,0.9228571428571429,-1.0057727272727273,1.3650069908421967,0.0,-9.81
0.10606060606060605,0.09787878787878787,0.4748243801652893,0.9228571428571429,-1.0404545454545453,1.390759133451754,0.0,-9.81
0.1095959595959596,0.10114141414141414,0.4710846992653811,0.9228571428571429,-1.0751363636363638,1.4168922000405226,0.0,-9.81
0.11313131313131312,0.1044040404040404,0.46722240587695135,0.9228571428571429,-1.1098181818181818,1.4433855004179112,0.0,-9.81
0.11666666666666665,0.10766666666666666,0.4632375,0.9228571428571429,-1.1444999999999999,1.47021956051552,0.0,-9.81
0.1202020202020202,0.11092929292929293,0.4591299816345271,0.9228571428571429,-1.179181818181818,1.497376060464781,0.0,-9.81
0.12373737373737373,0.11419191919191919,0.45489985078053263,0.9228571428571429,-1.2138636363636364,1.5248377729477978,0.0,-9.81
0.12727272727272726,0.11745454545454545,0.45054710743801657,0.9228571428571429,-1.2485454545454544,1.5525885025300696,0.0,-9.81
0.1308080808080808,0.12071717171717171,0.44607175160697893,0.9228571428571429,-1.2832272727272727,1.5806130265164597,0.0,-9.81
0.13434343434343435,0.123979797979798,0.44147378328741965,0.9228571428571429,-1.317909090909091,1.6088970377321463,0.0,-9.81
0.13787878787878788,0.12724242424242424,0.43675320247933885,0.9228571428571429,-1.3525909090909092,1.6374270895150786,0.0,-9.81
0.1414141414141414,0.1305050505050505,0.4319100091827365,0.9228571428571429,-1.3872727272727272,1.6661905431123896,0.0,-9.81
0.14494949494949494,0.13376767676767676,0.4269442033976125,0.9228571428571429,-1.4219545454545455,1.6951755175973053,0.0,-9.81
0.14848484848484847,0.13703030303030303,0.421855785123967,0.9228571428571429,-1.4566363636363635,1.7243708423625754,0.0,-9.81
